# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ICR1	ICR1	ICR1	lincRNA	0	0	0	930	0	0	0	0	409	0	0	0	0	104	0	0	0	0	0	0	0	0	417
ICS2	YBR157C	YBR157C	protein_coding	1	71	30	792	0	0	0	0	467	0	0	0	30	0	0	0	0	0	1	0	0	71	325
ICS3	YJL077C	YJL077C	protein_coding	0	0	0	530	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	401
ICT1	YLR099C	YLR099C	protein_coding	0	89	16	1200	0	0	0	0	553	0	0	0	16	0	0	0	0	0	0	0	0	89	647
ICY1	YMR195W	YMR195W	protein_coding	0	1	2	630	1	0	0	0	497	0	0	0	1	0	0	0	0	0	0	0	0	1	133
ICY2	YPL250C	YPL250C	protein_coding	0	2	1	756	0	0	0	0	546	0	0	0	1	0	0	0	0	0	0	0	0	2	210
IDH1	YNL037C	YNL037C	protein_coding	0	110	9	442	0	0	0	0	330	0	0	0	9	0	0	0	0	0	0	0	0	110	112
IDH2	YOR136W	YOR136W	protein_coding	0	71	5	554	0	0	0	0	377	0	0	0	5	0	0	0	0	0	0	0	0	71	177
IDI1	YPL117C	YPL117C	protein_coding	0	29	3	938	0	0	0	0	486	0	0	0	3	0	0	0	0	0	0	0	0	29	452
IDP1	YDL066W	YDL066W	protein_coding	0	126	9	970	0	0	0	0	499	0	0	0	9	0	0	0	1	0	0	0	1	125	471
IDP2	YLR174W	YLR174W	protein_coding	0	81	12	950	0	0	0	0	441	0	0	0	12	0	0	0	0	0	0	0	0	81	509
IDP3	YNL009W	YNL009W	protein_coding	0	121	51	1000	0	0	0	0	551	0	0	0	51	0	0	0	0	0	0	0	0	121	449
IDS2	YJL146W	YJL146W	protein_coding	0	115	46	625	0	0	0	0	363	0	0	0	46	0	0	0	0	0	0	0	0	115	262
IES1	YFL013C	YFL013C	protein_coding	0	105	28	506	0	0	0	0	314	0	0	0	28	0	0	0	0	0	0	0	0	105	192
IES2	YNL215W	YNL215W	protein_coding	0	59	19	947	0	0	0	0	480	0	0	0	19	0	0	0	0	0	0	0	0	59	467
IES3	YLR052W	YLR052W	protein_coding	0	86	31	869	0	0	0	0	483	0	0	0	31	0	0	0	0	0	0	0	0	86	386
IES4	YOR189W	YOR189W	protein_coding	0	1	0	674	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	1	432
IES5	YER092W	YER092W	protein_coding	0	0	0	1124	0	0	0	0	698	0	0	0	0	0	0	0	0	0	0	0	0	0	426
IES6	YEL044W	YEL044W	protein_coding	0	55	16	896	0	0	0	0	507	0	0	0	16	0	0	0	0	0	0	0	0	55	389
IFA38	YBR159W	YBR159W	protein_coding	0	118	37	696	0	0	0	0	369	0	0	0	37	0	0	0	0	0	0	0	0	118	327
IFH1	YLR223C	YLR223C	protein_coding	0	214	58	803	0	0	0	0	408	0	0	0	58	0	0	0	0	0	0	0	0	214	395
IFM1	YOL023W	YOL023W	protein_coding	0	227	64	987	0	0	0	0	529	0	0	0	64	0	0	0	1	0	0	0	1	226	458
IGD1	YFR017C	YFR017C	protein_coding	0	42	18	458	0	0	0	0	49	0	0	0	18	0	0	0	0	0	0	0	0	42	409
IGO1	YNL157W	YNL157W	protein_coding	0	58	11	605	0	0	0	0	299	0	0	0	11	0	0	0	1	0	0	0	1	57	306
IGO2	YHR132W-A	YHR132W-A	protein_coding	0	39	3	640	0	0	0	0	312	0	0	0	3	0	0	0	0	0	0	0	0	39	328
IKI1	YHR187W	YHR187W	protein_coding	0	34	23	1170	0	0	0	0	496	0	0	0	23	0	0	0	0	0	0	0	0	34	674
IKI3	YLR384C	YLR384C	protein_coding	0	387	100	1108	0	0	0	0	622	0	0	0	100	0	0	0	0	0	0	0	0	387	486
IKS1	YJL057C	YJL057C	protein_coding	1	186	64	1044	0	0	0	0	554	1	0	0	64	0	0	0	0	0	0	0	0	186	490
ILM1	YJR118C	YJR118C	protein_coding	0	7	3	540	0	0	0	0	178	0	0	0	3	0	0	0	0	0	0	0	0	7	362
ILS1	YBL076C	YBL076C	protein_coding	0	314	58	855	0	0	0	0	444	0	0	0	58	0	0	0	0	0	0	0	0	314	411
ILV1	YER086W	YER086W	protein_coding	0	175	11	792	0	0	0	0	294	0	0	0	11	0	0	0	0	0	0	0	0	175	498
ILV2	YMR108W	YMR108W	protein_coding	0	181	34	747	0	0	0	0	484	0	0	0	34	0	0	0	0	0	0	0	0	181	263
ILV3	YJR016C	YJR016C	protein_coding	0	140	16	671	0	0	0	0	366	0	0	0	16	0	0	0	0	0	0	0	0	140	305
ILV5	YLR355C	YLR355C	protein_coding	0	33	7	772	0	0	0	0	383	0	0	0	7	0	0	0	0	0	0	0	0	33	389
ILV6	YCL009C	YCL009C	protein_coding	0	54	12	852	0	0	0	0	427	0	0	0	12	0	0	0	0	0	0	0	0	54	425
IMA1	YGR287C	YGR287C	protein_coding	1	166	41	514	0	0	0	0	253	0	0	0	41	0	0	0	0	0	1	0	0	166	261
IMA2	YOL157C	YOL157C	protein_coding	0	50	19	242	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	50	242
IMA3	YIL172C	YIL172C	protein_coding	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
IMA4	YJL221C	YJL221C	protein_coding	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139
IMA5	YJL216C	YJL216C	protein_coding	1	282	99	482	0	0	0	0	176	0	0	0	99	0	0	0	0	0	1	0	0	282	306
IMD1	YAR073W	YAR073W	protein_coding	0	10	5	131	0	0	0	0	69	0	0	0	5	0	0	0	0	0	0	0	0	10	62
IMD2	YHR216W	YHR216W	protein_coding	0	79	24	141	0	0	0	0	93	0	0	0	24	0	0	0	0	0	0	0	0	79	48
IMD3	YLR432W	YLR432W	protein_coding	0	118	40	889	0	0	0	0	494	0	0	0	40	0	0	0	0	0	0	0	0	118	395
IMD4	YML056C	YML056C	protein_coding	15	42	81	791	0	0	0	0	446	0	0	3	81	0	0	0	0	0	7	8	1	41	342
IME1	YJR094C	YJR094C	protein_coding	0	39	41	610	0	0	0	0	403	0	0	0	41	0	0	0	0	0	0	0	0	39	207
IME2	YJL106W	YJL106W	protein_coding	0	202	64	724	0	0	0	0	282	0	0	0	64	0	0	0	0	0	0	0	0	202	442
IME4	YGL192W	YGL192W	protein_coding	1	122	51	614	0	0	0	0	246	0	0	0	51	0	0	0	0	0	1	0	0	122	368
IMG1	YCR046C	YCR046C	protein_coding	0	50	15	693	0	0	0	0	363	0	0	0	15	0	0	0	0	0	0	0	0	50	330
IMG2	YCR071C	YCR071C	protein_coding	0	2	0	1013	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	2	691
IMH1	YLR309C	YLR309C	protein_coding	0	178	84	963	0	0	0	0	366	0	0	0	84	0	0	0	0	0	0	0	0	178	597
IML1	YJR138W	YJR138W	protein_coding	0	483	138	1106	0	0	0	0	631	0	0	0	138	0	0	0	0	0	0	0	0	483	475
IML2	YJL082W	YJL082W	protein_coding	1	262	48	1046	0	0	0	0	609	0	0	0	48	0	0	0	0	0	1	0	0	262	437
IML3	YBR107C	YBR107C	protein_coding	0	43	21	650	0	0	0	0	374	0	0	0	21	0	0	0	0	0	0	0	0	43	276
IMO32	YGR031W	YGR031W	protein_coding	0	90	43	644	0	0	0	0	389	0	0	0	43	0	0	0	1	0	0	0	1	89	255
IMP1	YMR150C	YMR150C	protein_coding	0	47	11	885	0	0	0	0	358	0	0	0	11	0	0	0	0	0	0	0	0	47	527
IMP2	YMR035W	YMR035W	protein_coding	0	20	5	753	0	0	0	0	364	0	0	0	5	0	0	0	0	0	0	0	0	20	389
IMP2'	YIL154C	YIL154C	protein_coding	0	71	16	1000	0	0	0	0	450	0	0	0	16	0	0	0	0	0	0	0	0	71	550
IMP3	YHR148W	YHR148W	protein_coding	0	55	4	596	0	0	0	0	398	0	0	0	4	0	0	0	0	0	0	0	0	55	198
IMP4	YNL075W	YNL075W	protein_coding	0	63	11	910	0	0	0	0	570	0	0	0	11	0	0	0	0	0	0	0	0	63	340
IMT1	tM(CAU)O1	tM(CAU)O1	protein_coding	0	0	0	211	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	3
IMT2	tM(CAU)P	tM(CAU)P	protein_coding	0	0	0	1068	0	0	0	0	480	0	0	0	0	0	0	0	0	0	0	0	0	0	588
IMT3	tM(CAU)J3	tM(CAU)J3	protein_coding	0	0	0	792	0	0	0	0	426	0	0	0	0	0	0	0	0	0	0	0	0	0	366
IMT4	tM(CAU)E	tM(CAU)E	protein_coding	0	0	0	501	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	236
INH1	YDL181W	YDL181W	protein_coding	0	26	5	848	0	0	0	0	582	0	0	0	5	0	0	0	0	0	0	0	0	26	266
INM1	YHR046C	YHR046C	protein_coding	0	109	27	368	0	0	0	0	357	0	0	0	27	0	0	0	0	0	0	0	0	109	11
INM2	YDR287W	YDR287W	protein_coding	0	35	11	949	0	0	0	0	578	0	0	0	11	0	0	0	0	0	0	0	0	35	371
INN1	YNL152W	YNL152W	protein_coding	1	137	36	556	0	0	0	0	259	0	0	0	36	0	0	0	0	0	1	0	0	137	297
INO1	YJL153C	YJL153C	protein_coding	0	155	43	846	0	0	0	0	565	0	0	0	43	0	0	0	0	0	0	0	0	155	281
INO2	YDR123C	YDR123C	protein_coding	0	67	47	778	0	0	0	0	473	0	0	0	47	0	0	0	0	0	0	0	0	67	305
INO4	YOL108C	YOL108C	protein_coding	0	36	8	855	0	0	0	0	412	0	0	0	8	0	0	0	0	0	0	0	0	36	443
INO80	YGL150C	YGL150C	protein_coding	0	457	91	1026	1	0	0	0	679	0	0	0	90	0	0	0	0	0	0	0	0	457	347
INP1	YMR204C	YMR204C	protein_coding	0	49	28	682	0	0	0	0	372	0	0	0	28	0	0	0	0	0	0	0	0	49	310
INP2	YMR163C	YMR163C	protein_coding	1	81	61	1023	0	0	0	0	643	0	0	0	61	0	0	0	0	0	1	0	0	81	380
INP51	YIL002C	YIL002C	protein_coding	0	257	32	843	0	0	0	0	479	0	0	0	32	0	0	0	0	0	0	0	0	257	364
INP52	YNL106C	YNL106C	protein_coding	0	290	59	488	0	0	0	0	231	0	0	0	59	0	0	0	0	0	0	0	0	290	257
INP53	YOR109W	YOR109W	protein_coding	0	323	61	718	0	0	0	0	497	0	0	0	61	0	0	0	0	0	0	0	0	323	221
INP54	YOL065C	YOL065C	protein_coding	0	6	7	1167	0	0	0	0	515	0	0	0	7	0	0	0	0	0	0	0	0	6	652
IOC2	YLR095C	YLR095C	protein_coding	1	173	65	1030	0	1	0	0	499	0	0	0	64	0	0	0	0	0	1	0	0	173	531
IOC3	YFR013W	YFR013W	protein_coding	1	213	103	811	0	0	0	0	468	0	0	0	103	0	0	0	0	0	1	0	0	213	343
IOC4	YMR044W	YMR044W	protein_coding	0	11	5	227	0	1	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	11	220
IPI1	YHR085W	YHR085W	protein_coding	0	98	33	815	0	0	0	0	338	0	0	0	33	0	0	0	1	0	0	0	1	97	477
IPI3	YNL182C	YNL182C	protein_coding	1	145	49	640	0	0	0	0	325	0	0	0	49	0	0	0	0	0	1	0	0	145	315
IPK1	YDR315C	YDR315C	protein_coding	0	19	27	579	0	0	0	0	464	0	0	0	27	0	0	0	0	0	0	0	0	19	115
IPL1	YPL209C	YPL209C	protein_coding	0	105	12	982	0	0	0	0	431	0	0	0	12	0	0	0	0	0	0	0	0	105	551
IPP1	YBR011C	YBR011C	protein_coding	0	46	7	458	0	0	0	0	394	0	0	0	7	0	0	0	0	0	0	0	0	46	64
IPT1	YDR072C	YDR072C	protein_coding	0	123	70	838	0	0	0	0	447	0	0	0	70	0	0	0	0	0	0	0	0	123	391
IQG1	YPL242C	YPL242C	protein_coding	0	398	135	675	0	0	0	0	450	0	0	0	135	0	0	0	0	0	0	0	0	398	225
IRA1	YBR140C	YBR140C	protein_coding	1	1110	293	927	0	0	0	0	531	0	0	0	293	0	0	0	0	0	1	0	0	1110	396
IRA2	YOL081W	YOL081W	protein_coding	1	1094	283	745	0	0	0	0	547	0	0	0	283	0	0	0	0	0	1	0	0	1094	198
IRC10	YOL015W	YOL015W	protein_coding	0	42	31	479	0	0	0	0	249	0	0	0	31	0	0	0	0	0	0	0	0	42	230
IRC11	YOR013W	YOR013W	protein_coding	1	46	20	698	0	0	0	0	393	0	0	0	20	0	0	0	0	0	1	0	0	46	305
IRC13	YOR235W	YOR235W	protein_coding	0	1	3	606	0	0	0	0	370	0	0	0	3	0	0	0	0	0	0	0	0	1	236
IRC14	YOR135C	YOR135C	protein_coding	0	1	1	507	0	0	0	0	177	0	0	0	1	0	0	0	0	0	0	0	0	1	330
IRC15	YPL017C	YPL017C	protein_coding	2	130	63	787	0	0	0	0	339	0	0	0	63	0	0	0	0	0	2	0	0	130	448
IRC16	YPR038W	YPR038W	protein_coding	1	14	11	823	0	0	0	0	522	0	0	0	11	0	0	0	0	0	1	0	0	14	301
IRC18	YJL037W	YJL037W	protein_coding	0	7	2	604	0	0	0	0	302	0	0	0	2	0	0	0	0	0	0	0	0	7	302
IRC19	YLL033W	YLL033W	protein_coding	1	54	35	1046	0	0	0	0	553	0	0	0	35	0	0	0	0	0	1	0	0	54	493
IRC2	YDR112W	YDR112W	protein_coding	0	25	10	696	0	0	0	0	342	0	0	0	10	0	0	0	0	0	0	0	0	25	354
IRC20	YLR247C	YLR247C	protein_coding	2	343	132	706	0	0	0	0	330	0	0	0	132	0	0	0	0	0	2	0	0	343	376
IRC21	YMR073C	YMR073C	protein_coding	1	72	30	702	0	0	0	0	255	0	0	0	30	0	0	0	0	0	1	0	0	72	447
IRC22	YEL001C	YEL001C	protein_coding	0	32	32	602	0	0	0	0	276	0	0	0	32	0	0	0	0	0	0	0	0	32	326
IRC23	YOR044W	YOR044W	protein_coding	0	17	19	780	0	0	0	0	458	0	0	0	19	0	0	0	1	0	0	0	1	16	322
IRC24	YIR036C	YIR036C	protein_coding	0	46	23	754	0	0	0	0	511	0	0	0	23	0	0	0	0	0	0	0	0	46	243
IRC25	YLR021W	YLR021W	protein_coding	1	33	12	1091	0	0	0	0	539	0	0	0	12	0	0	0	0	0	1	0	0	33	552
IRC3	YDR332W	YDR332W	protein_coding	0	137	53	829	0	0	0	0	462	0	0	0	53	0	0	0	0	0	0	0	0	137	367
IRC4	YDR540C	YDR540C	protein_coding	0	1	0	503	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	1	230
IRC5	YFR038W	YFR038W	protein_coding	0	244	72	828	0	0	0	0	541	0	0	0	72	0	0	0	0	0	0	0	0	244	287
IRC6	YFR043C	YFR043C	protein_coding	0	2	5	1136	0	0	0	0	702	0	0	0	5	0	0	0	0	0	0	0	0	2	434
IRC7	YFR055W	YFR055W	protein_coding	0	51	19	73	0	0	0	0	12	0	0	0	19	0	0	0	0	0	0	0	0	51	61
IRC8	YJL051W	YJL051W	protein_coding	1	202	146	775	0	0	0	0	529	0	0	0	146	0	0	0	0	0	1	0	0	202	246
IRC9	YJL142C	YJL142C	protein_coding	1	4	25	716	0	0	0	0	314	0	0	0	25	0	0	0	0	0	1	0	0	4	402
IRE1	YHR079C	YHR079C	protein_coding	1	308	71	803	0	0	0	0	583	0	0	0	71	0	0	0	0	0	1	0	0	308	220
IRR1	YIL026C	YIL026C	protein_coding	0	361	134	481	0	0	0	0	85	0	0	0	134	0	0	0	0	0	0	0	0	361	396
IRS4	YKR019C	YKR019C	protein_coding	0	171	106	1049	0	0	0	0	541	0	0	0	106	0	0	0	0	0	0	0	0	171	508
ISA1	YLL027W	YLL027W	protein_coding	0	64	33	624	0	0	0	0	364	0	0	0	33	0	0	0	0	0	0	0	0	64	260
ISA2	YPR067W	YPR067W	protein_coding	0	6	2	563	0	0	0	0	411	0	0	0	2	0	0	0	0	0	0	0	0	6	152
ISC1	YER019W	YER019W	protein_coding	0	134	29	864	0	0	0	0	425	0	0	0	29	0	0	0	0	0	0	0	0	134	439
ISC10	YER180C	YER180C	protein_coding	0	43	52	514	0	0	0	0	357	0	0	0	52	0	0	0	0	0	0	0	0	43	157
ISD11	YER048W-A	YER048W-A	protein_coding	0	19	5	659	0	0	0	0	372	0	0	0	5	0	0	0	0	0	0	0	0	19	287
ISF1	YMR081C	YMR081C	protein_coding	0	94	45	462	0	0	0	0	316	0	0	0	45	0	0	0	0	0	0	0	0	94	146
ISM1	YPL040C	YPL040C	protein_coding	0	370	198	843	0	0	0	0	467	0	0	0	198	0	0	0	0	0	0	0	0	370	376
ISN1	YOR155C	YOR155C	protein_coding	0	130	15	1091	0	0	0	0	647	0	0	0	15	0	0	0	0	0	0	0	0	130	444
ISR1	YPR106W	YPR106W	protein_coding	0	103	64	810	0	0	0	0	294	0	0	0	64	0	0	0	0	0	0	0	0	103	516
IST1	YNL265C	YNL265C	protein_coding	0	51	11	967	0	0	0	0	536	0	0	1	11	0	0	0	1	0	0	0	0	51	430
IST2	YBR086C	YBR086C	protein_coding	0	231	98	517	0	1	0	0	244	0	0	0	97	0	0	0	0	0	0	0	0	231	273
IST3	YIR005W	YIR005W	protein_coding	0	37	12	593	0	0	0	0	394	0	0	0	12	0	0	0	0	0	0	0	0	37	199
ISU1	YPL135W	YPL135W	protein_coding	0	0	0	621	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	376
ISU2	YOR226C	YOR226C	protein_coding	0	11	1	971	0	0	0	0	388	0	0	0	1	0	0	0	0	0	0	0	0	11	583
ISW1	YBR245C	YBR245C	protein_coding	0	306	47	869	0	0	0	0	425	0	0	0	47	0	0	0	0	0	0	0	0	306	444
ISW2	YOR304W	YOR304W	protein_coding	0	383	58	899	0	0	0	1	377	0	0	0	57	0	0	0	0	0	0	0	0	383	522
ISY1	YJR050W	YJR050W	protein_coding	0	36	24	688	0	0	0	0	458	0	0	0	24	0	0	0	0	0	0	0	0	36	230
ITC1	YGL133W	YGL133W	protein_coding	2	233	136	681	0	0	0	0	389	0	0	0	136	0	0	0	0	0	2	0	0	233	292
ITR1	YDR497C	YDR497C	protein_coding	0	219	39	931	0	0	0	0	542	0	0	0	39	0	0	0	1	0	0	0	1	218	389
ITR2	YOL103W	YOL103W	protein_coding	0	162	27	416	0	0	0	0	415	0	0	0	27	0	0	0	0	0	0	0	0	162	1
ITT1	YML068W	YML068W	protein_coding	1	99	98	935	0	0	0	0	432	0	0	0	98	0	0	0	0	0	1	0	0	99	503
IVY1	YDR229W	YDR229W	protein_coding	0	106	17	596	0	0	0	0	295	0	0	0	17	0	0	0	0	0	0	0	0	106	301
IWR1	YDL115C	YDL115C	protein_coding	25	24	82	1044	0	0	0	0	515	0	0	0	82	0	0	0	1	0	8	17	5	19	529
IXR1	YKL032C	YKL032C	protein_coding	1	76	14	651	3	0	0	0	294	1	0	0	11	0	0	0	0	0	0	0	0	76	357
IZH1	YDR492W	YDR492W	protein_coding	0	37	5	861	0	0	0	0	485	0	0	0	5	0	0	0	0	0	0	0	0	37	376
IZH2	YOL002C	YOL002C	protein_coding	0	82	17	800	0	0	0	0	436	0	0	0	17	0	0	0	0	0	0	0	0	82	364
IZH3	YLR023C	YLR023C	protein_coding	0	185	67	1141	0	0	0	0	527	0	0	0	67	0	0	0	0	0	0	0	0	185	614
IZH4	YOL101C	YOL101C	protein_coding	0	67	13	675	0	0	0	0	292	0	0	0	13	0	0	0	0	0	0	0	0	67	383
JAC1	YGL018C	YGL018C	protein_coding	0	50	20	1202	0	0	0	0	545	0	0	0	20	0	0	0	0	0	0	0	0	50	657
JEM1	YJL073W	YJL073W	protein_coding	0	173	66	936	0	0	0	0	441	0	0	0	66	0	0	0	0	0	0	0	0	173	495
JEN1	YKL217W	YKL217W	protein_coding	0	145	21	561	0	0	0	0	427	0	0	0	21	0	0	0	0	0	0	0	0	145	134
JHD1	YER051W	YER051W	protein_coding	0	84	45	569	0	0	0	0	275	0	0	0	45	0	0	0	0	0	0	0	0	84	294
JHD2	YJR119C	YJR119C	protein_coding	0	122	77	488	0	0	0	0	180	0	0	0	77	0	0	0	0	0	0	0	0	122	308
JID1	YPR061C	YPR061C	protein_coding	0	69	32	740	0	0	0	0	606	0	0	0	32	0	0	0	0	0	0	0	0	69	134
JIP3	YLR331C	YLR331C	protein_coding	0	2	1	458	0	0	0	0	311	0	0	0	1	0	0	0	0	0	0	0	0	2	147
JIP4	YDR475C	YDR475C	protein_coding	2	194	101	688	0	0	0	0	334	0	0	0	101	0	0	0	0	0	2	0	0	194	354
JIP5	YPR169W	YPR169W	protein_coding	0	71	24	486	0	0	0	0	47	0	0	0	24	0	0	0	0	0	0	0	0	71	439
JJJ1	YNL227C	YNL227C	protein_coding	0	69	22	869	0	0	0	0	434	0	0	0	22	0	0	0	0	0	0	0	0	69	435
JJJ2	YJL162C	YJL162C	protein_coding	1	82	50	640	0	0	0	0	397	0	0	0	50	0	0	0	0	0	1	0	0	82	243
JJJ3	YJR097W	YJR097W	protein_coding	0	34	20	600	0	0	0	0	348	0	0	0	20	0	0	0	0	0	0	0	0	34	252
JLP1	YLL057C	YLL057C	protein_coding	0	91	15	370	0	0	0	0	176	0	0	0	15	0	0	0	0	0	0	0	0	91	194
JLP2	YMR132C	YMR132C	protein_coding	0	39	11	887	0	0	0	0	635	0	0	0	11	0	0	0	0	0	0	0	0	39	252
JNM1	YMR294W	YMR294W	protein_coding	0	19	15	799	0	0	0	0	354	0	0	0	15	0	0	0	0	0	0	0	0	19	445
JSN1	YJR091C	YJR091C	protein_coding	0	324	87	748	0	0	0	0	330	0	0	0	87	0	0	0	0	0	0	0	0	324	418
KAE1	YKR038C	YKR038C	protein_coding	0	119	18	752	0	0	0	0	532	0	0	0	18	0	0	0	0	0	0	0	0	119	220
KAP104	YBR017C	YBR017C	protein_coding	2	265	45	655	1	0	0	0	200	2	0	0	44	0	0	0	0	0	0	0	0	265	455
KAP114	YGL241W	YGL241W	protein_coding	5	280	177	1034	0	0	0	0	505	0	0	0	177	0	0	0	0	0	5	0	0	280	529
KAP120	YPL125W	YPL125W	protein_coding	1	325	63	962	0	0	0	0	469	0	0	0	63	0	0	0	0	0	1	0	0	325	493
KAP122	YGL016W	YGL016W	protein_coding	1	314	108	956	0	0	0	0	393	0	0	0	108	0	0	0	0	0	1	0	0	314	563
KAP123	YER110C	YER110C	protein_coding	0	311	32	776	0	0	0	0	409	0	0	0	32	0	0	0	0	0	0	0	0	311	367
KAP95	YLR347C	YLR347C	protein_coding	0	264	17	615	0	0	0	0	311	0	0	0	17	0	0	0	0	0	0	0	0	264	304
KAR1	YNL188W	YNL188W	protein_coding	0	25	12	476	0	0	0	0	224	0	0	0	12	0	0	0	0	0	0	0	0	25	252
KAR2	YJL034W	YJL034W	protein_coding	0	190	19	735	0	0	0	0	531	0	0	0	19	0	0	0	0	0	0	0	0	190	204
KAR3	YPR141C	YPR141C	protein_coding	1	262	95	793	0	0	0	0	443	0	0	0	95	0	0	0	0	0	1	0	0	262	350
KAR4	YCL055W	YCL055W	protein_coding	0	51	2	791	0	0	0	0	284	0	0	0	2	0	0	0	0	0	0	0	0	51	507
KAR5	YMR065W	YMR065W	protein_coding	0	122	68	769	0	0	0	0	435	0	0	0	68	0	0	0	0	0	0	0	0	122	334
KAR9	YPL269W	YPL269W	protein_coding	0	70	21	860	0	0	0	0	519	0	0	0	21	0	0	0	0	0	0	0	0	70	341
KCC4	YCL024W	YCL024W	protein_coding	0	103	44	289	0	0	0	0	16	0	0	0	44	0	0	0	0	0	0	0	0	103	273
KCS1	YDR017C	YDR017C	protein_coding	0	194	106	636	0	0	0	0	278	0	0	0	106	0	0	0	0	0	0	0	0	194	358
KDX1	YKL161C	YKL161C	protein_coding	2	108	98	408	0	0	0	0	277	0	0	0	98	0	0	0	1	0	1	1	0	108	131
KEG1	YFR042W	YFR042W	protein_coding	0	54	23	1000	0	0	0	0	353	0	0	0	23	0	0	0	0	0	0	0	0	54	647
KEI1	YDR367W	YDR367W	protein_coding	0	19	4	388	0	0	0	0	387	0	0	0	4	0	0	0	0	0	0	0	0	19	1
KEL1	YHR158C	YHR158C	protein_coding	0	226	58	493	0	0	0	0	326	0	0	0	58	0	0	0	0	0	0	0	0	226	167
KEL2	YGR238C	YGR238C	protein_coding	0	107	48	739	0	0	0	0	390	0	0	0	48	0	0	0	0	0	0	0	0	107	349
KEL3	YPL263C	YPL263C	protein_coding	0	211	52	742	0	0	0	0	415	0	0	0	52	0	0	0	0	0	0	0	0	211	327
KES1	YPL145C	YPL145C	protein_coding	0	134	14	732	0	0	0	0	568	0	0	0	14	0	0	0	0	0	0	0	0	134	164
KEX1	YGL203C	YGL203C	protein_coding	1	170	79	703	0	1	0	0	338	0	0	0	78	0	0	0	0	0	1	0	0	170	365
KEX2	YNL238W	YNL238W	protein_coding	0	224	63	910	0	0	0	0	542	0	0	0	63	0	0	0	0	0	0	0	0	224	368
KGD1	YIL125W	YIL125W	protein_coding	0	348	43	910	0	0	0	0	338	0	0	0	43	0	0	0	0	0	0	0	0	348	572
KGD2	YDR148C	YDR148C	protein_coding	0	83	3	629	0	0	0	0	431	0	0	0	3	0	0	0	0	0	0	0	0	83	198
KHA1	YJL094C	YJL094C	protein_coding	0	315	108	1075	0	0	0	0	578	0	0	0	108	0	0	0	0	0	0	0	0	315	497
KIC1	YHR102W	YHR102W	protein_coding	0	275	94	830	0	0	0	0	445	0	0	0	94	0	0	0	0	0	0	0	0	275	385
KIN1	YDR122W	YDR122W	protein_coding	1	305	96	709	0	0	0	0	302	1	0	0	96	0	0	0	0	0	0	0	0	305	407
KIN2	YLR096W	YLR096W	protein_coding	0	308	94	915	0	0	0	0	496	0	0	0	94	0	0	0	0	0	0	0	0	308	419
KIN28	YDL108W	YDL108W	protein_coding	8	2	49	986	0	0	0	0	449	0	0	0	49	0	0	0	0	0	5	3	0	2	537
KIN3	YAR018C	YAR018C	protein_coding	0	161	21	734	0	0	0	0	316	0	0	0	21	0	0	0	0	0	0	0	0	161	418
KIN4	YOR233W	YOR233W	protein_coding	0	141	39	857	0	0	0	0	343	0	0	0	39	0	0	0	0	0	0	0	0	141	514
KIN82	YCR091W	YCR091W	protein_coding	0	154	40	533	0	0	0	0	524	0	0	0	40	0	0	0	0	0	0	0	0	154	9
KIP1	YBL063W	YBL063W	protein_coding	0	261	87	832	0	0	0	0	346	0	0	0	87	0	0	0	0	0	0	0	0	261	486
KIP2	YPL155C	YPL155C	protein_coding	0	187	54	652	0	0	0	0	251	0	0	0	54	0	0	0	0	0	0	0	0	187	401
KIP3	YGL216W	YGL216W	protein_coding	0	184	37	956	0	0	0	0	439	0	0	0	37	0	0	0	0	0	0	0	0	184	517
KKQ8	YKL168C	YKL168C	protein_coding	0	169	57	566	0	0	0	0	391	0	0	0	57	0	0	0	0	0	0	0	0	169	175
KNH1	YDL049C	YDL049C	protein_coding	1	93	42	572	0	0	0	0	398	0	0	0	42	0	0	0	0	0	1	0	0	93	174
